
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
									1979-08-18T10:50:00.000	1	184	1	.147	1	17	1
									1979-08-18T11:05:00.000	1	184	1	.144	1	3	3
									1979-08-18T11:20:00.000	1	184	1	.138	1	188	1
									1979-08-18T11:35:00.000	1	184	1	.124	1	188	1
									1979-08-18T11:50:00.000	1	184	1	.077	1	11	1
									1979-08-18T12:05:00.000	1	184	1	.092	1	3	1
									1979-08-18T12:20:00.000	1	184	1	.048	1	17	1
									1979-08-18T12:35:00.000	1	184	1	.039	1	11	1
									1979-08-18T12:50:00.000	1	184	1	.034	1	79	3
									1979-08-18T13:05:00.000	1	184	1	0	1	59	3
									1979-08-18T13:20:00.000	1	184	1	.036	1	163	3
									1979-08-18T13:35:00.000	1	184	1	.063	1	124	1
									1979-08-18T13:50:00.000	1	184	1	.124	1	96	3
									1979-08-18T14:05:00.000	1	184	1	.185	1	295	1
									1979-08-18T14:20:00.000	1	184	1	.153	1	312	1
									1979-08-18T14:35:00.000	1	184	1	.161	1	346	3
									1979-08-18T14:50:00.000	1	184	1	.173	1	295	1
									1979-08-18T15:05:00.000	1	184	1	.176	1	284	3
									1979-08-18T15:20:00.000	1	184	1	.188	1	312	1
									1979-08-18T15:35:00.000	1	184	1	.196	1	312	1
									1979-08-18T15:50:00.000	1	184	1	.193	1	295	3
									1979-08-18T16:05:00.000	1	184	1	.17	1	307	1
									1979-08-18T16:20:00.000	1	184	1	.196	1	304	1
									1979-08-18T16:35:00.000	1	184	1	.179	1	309	1
									1979-08-18T16:50:00.000	1	184	1	.161	1	312	1
									1979-08-18T17:05:00.000	1	184	1	.167	1	312	1
									1979-08-18T17:20:00.000	1	184	1	.185	1	281	1
									1979-08-18T17:35:00.000	1	184	1	.205	1	278	1
									1979-08-18T17:50:00.000	1	184	1	.234	1	98	3
									1979-08-18T18:05:00.000	1	184	1	.228	1	135	3
									1979-08-18T18:20:00.000	1	184	1	.208	1	70	1
									1979-08-18T18:35:00.000	1	184	1	.225	1	62	1
									1979-08-18T18:50:00.000	1	184	1	.231	1	93	1
									1979-08-18T19:05:00.000	1	184	1	.246	1	278	3
									1979-08-18T19:20:00.000	1	184	1	.243	1	124	1
									1979-08-18T19:35:00.000	1	184	1	.161	1	104	1
									1979-08-18T19:50:00.000	1	184	1	.211	1	79	3
									1979-08-18T20:05:00.000	1	184	1	.068	3	132	1
									1979-08-18T20:20:00.000	1	184	1	.316	3	124	1
									1979-08-18T20:35:00.000	1	184	1	.196	1	340	3
									1979-08-18T20:50:00.000	1	184	1	.132	1	101	3
									1979-08-18T21:05:00.000	1	184	1	.208	1	304	3
									1979-08-18T21:20:00.000	1	184	1	.257	1	293	3
									1979-08-18T21:35:00.000	1	184	1	.443	1	309	1
									1979-08-18T21:50:00.000	1	184	1	.499	1	301	1
									1979-08-18T22:05:00.000	1	184	1	.746	1	309	1
									1979-08-18T22:20:00.000	1	184	1	.728	1	290	1
									1979-08-18T22:35:00.000	1	184	1	.548	1	273	3
									1979-08-18T22:50:00.000	1	184	1	.461	1	304	1
									1979-08-18T23:05:00.000	1	184	1	.371	1	307	1
									1979-08-18T23:20:00.000	1	184	1	.176	1	96	3
									1979-08-18T23:35:00.000	1	184	1	.202	1	129	1
									1979-08-18T23:50:00.000	1	184	1	.153	1	312	1
									1979-08-19T00:05:00.000	1	184	1	.054	1	307	1
									1979-08-19T00:20:00.000	1	184	1	.045	1	352	3
									1979-08-19T00:35:00.000	1	184	1	.086	1	239	3
									1979-08-19T00:50:00.000	1	184	1	.039	1	304	1
